county,case_count,death_cases,lab_tests
ADAMS,2,0,25
ALLEN,105,7,663
BARTHOLOMEW,83,4,156
BENTON,0,0,37
BLACKFORD,4,0,42
BOONE,84,2,384
BROWN,9,1,24
CARROLL,3,0,51
CASS,16,1,49
CLARK,96,7,470
CLAY,12,0,79
CLINTON,10,1,144
CRAWFORD,11,0,51
DAVIESS,8,1,75
DEARBORN,52,2,128
DECATUR,107,6,161
DEKALB,5,0,46
DELAWARE,49,1,537
DUBOIS,10,0,66
ELKHART,56,3,773
FAYETTE,19,3,89
FLOYD,88,3,458
FOUNTAIN,2,1,50
FRANKLIN,64,7,126
FULTON,3,0,37
GIBSON,4,0,22
GRANT,26,2,165
GREENE,12,0,109
HAMILTON,395,16,1671
HANCOCK,100,2,569
HARRISON,51,1,216
HENDRICKS,256,8,953
HENRY,19,0,194
HOWARD,42,4,255
HUNTINGTON,6,1,82
JACKSON,53,0,182
JASPER,16,1,192
JAY,4,0,59
JEFFERSON,10,0,104
JENNINGS,45,0,91
JOHNSON,248,11,1331
KNOX,10,0,85
KOSCIUSKO,16,1,223
LAGRANGE,7,1,48
LAKE,525,19,2432
LAPORTE,30,3,451
LAWRENCE,56,7,189
MADISON,146,11,583
MARION,2415,81,11356
MARSHALL,11,0,47
MARTIN,2,0,24
MIAMI,13,0,99
MONROE,61,0,411
MONTGOMERY,19,0,155
MORGAN,82,2,483
NEWTON,6,1,47
NOBLE,13,1,82
OHIO,1,0,8
ORANGE,12,2,80
OWEN,17,0,102
PARKE,5,0,46
PERRY,0,0,47
PIKE,0,0,15
PORTER,93,0,704
POSEY,5,0,13
PULASKI,1,0,36
PUTNAM,30,2,178
RANDOLPH,7,1,68
RIPLEY,77,3,198
RUSH,14,1,66
SCOTT,12,2,105
SHELBY,61,2,272
SPENCER,1,0,18
ST JOSEPH,150,1,462
STARKE,6,0,52
STEUBEN,12,1,107
SULLIVAN,4,0,44
SWITZERLAND,13,0,34
TIPPECANOE,40,1,770
TIPTON,9,0,50
UNION,5,0,18
VANDERBURGH,49,1,186
VERMILLION,3,0,37
VIGO,36,2,247
WABASH,6,0,63
WARREN,2,1,22
WARRICK,30,0,55
WASHINGTON,23,0,74
WAYNE,16,1,130
WELLS,3,0,38
WHITE,3,0,123
WHITLEY,8,1,34
