county,case_count,death_cases,lab_tests
ADAMS,5,1,34
ALLEN,147,10,797
BARTHOLOMEW,110,4,256
BENTON,2,0,45
BLACKFORD,5,0,56
BOONE,109,2,493
BROWN,12,1,36
CARROLL,5,0,65
CASS,22,1,61
CLARK,112,8,603
CLAY,11,0,97
CLINTON,11,1,172
CRAWFORD,12,0,74
DAVIESS,10,1,114
DEARBORN,60,3,156
DECATUR,127,10,206
DEKALB,5,0,46
DELAWARE,66,2,684
DUBOIS,13,0,96
ELKHART,83,3,995
FAYETTE,20,3,98
FLOYD,107,4,546
FOUNTAIN,3,1,61
FRANKLIN,69,7,142
FULTON,3,0,58
GIBSON,4,0,28
GRANT,36,2,228
GREENE,19,1,139
HAMILTON,478,23,2065
HANCOCK,118,6,737
HARRISON,55,2,252
HENDRICKS,315,10,1173
HENRY,23,0,246
HOWARD,48,4,301
HUNTINGTON,7,1,94
JACKSON,70,0,262
JASPER,17,1,234
JAY,4,0,72
JEFFERSON,12,0,129
JENNINGS,56,0,122
JOHNSON,317,20,1706
KNOX,15,0,104
KOSCIUSKO,18,1,302
LAGRANGE,12,1,61
LAKE,744,25,3414
LAPORTE,33,3,525
LAWRENCE,68,7,240
MADISON,254,14,899
MARION,2887,123,15176
MARSHALL,19,0,217
MARTIN,5,0,36
MIAMI,16,0,119
MONROE,83,1,555
MONTGOMERY,22,0,204
MORGAN,101,3,614
NEWTON,26,1,71
NOBLE,14,1,92
OHIO,1,0,10
ORANGE,17,3,110
OWEN,19,1,133
PARKE,7,0,65
PERRY,3,0,59
PIKE,1,0,22
PORTER,118,2,926
POSEY,5,0,13
PULASKI,1,0,54
PUTNAM,32,3,222
RANDOLPH,10,1,79
RIPLEY,84,3,262
RUSH,15,1,89
SCOTT,17,2,137
SHELBY,71,2,328
SPENCER,3,0,28
ST JOSEPH,192,3,874
STARKE,9,0,98
STEUBEN,12,1,147
SULLIVAN,6,0,59
SWITZERLAND,13,0,53
TIPPECANOE,45,1,936
TIPTON,9,0,59
UNION,5,0,21
VANDERBURGH,56,1,253
VERMILLION,3,0,46
VIGO,42,2,318
WABASH,7,0,73
WARREN,3,1,27
WARRICK,36,2,78
WASHINGTON,25,0,93
WAYNE,17,1,165
WELLS,4,0,53
WHITE,3,0,144
WHITLEY,12,1,47
