county,case_count,death_cases,lab_tests
ADAMS,4,0,30
ALLEN,136,10,745
BARTHOLOMEW,108,4,244
BENTON,0,0,41
BLACKFORD,5,0,53
BOONE,103,2,458
BROWN,12,1,33
CARROLL,5,0,62
CASS,23,1,60
CLARK,106,8,568
CLAY,11,0,90
CLINTON,11,1,163
CRAWFORD,12,0,67
DAVIESS,9,1,98
DEARBORN,59,3,147
DECATUR,123,10,190
DEKALB,5,0,46
DELAWARE,63,2,660
DUBOIS,11,0,86
ELKHART,71,3,933
FAYETTE,20,3,94
FLOYD,105,4,525
FOUNTAIN,3,1,59
FRANKLIN,67,7,136
FULTON,3,0,54
GIBSON,4,0,28
GRANT,35,2,214
GREENE,14,1,125
HAMILTON,443,22,1904
HANCOCK,112,6,672
HARRISON,54,2,238
HENDRICKS,301,9,1090
HENRY,22,0,228
HOWARD,46,4,287
HUNTINGTON,6,1,88
JACKSON,64,0,226
JASPER,16,1,217
JAY,4,0,69
JEFFERSON,13,0,125
JENNINGS,54,0,113
JOHNSON,287,19,1562
KNOX,13,0,97
KOSCIUSKO,17,1,270
LAGRANGE,10,1,58
LAKE,676,25,3005
LAPORTE,31,3,495
LAWRENCE,63,7,229
MADISON,235,13,822
MARION,2742,118,14004
MARSHALL,14,0,203
MARTIN,2,0,27
MIAMI,15,0,111
MONROE,75,0,520
MONTGOMERY,21,0,189
MORGAN,94,3,575
NEWTON,9,1,53
NOBLE,14,1,91
OHIO,1,0,10
ORANGE,16,3,103
OWEN,18,1,122
PARKE,7,0,62
PERRY,3,0,57
PIKE,0,0,19
PORTER,107,1,833
POSEY,5,0,13
PULASKI,1,0,50
PUTNAM,32,2,207
RANDOLPH,8,1,73
RIPLEY,81,3,241
RUSH,13,1,81
SCOTT,14,2,129
SHELBY,68,2,304
SPENCER,2,0,22
ST JOSEPH,186,3,795
STARKE,8,0,86
STEUBEN,12,1,136
SULLIVAN,5,0,56
SWITZERLAND,13,0,50
TIPPECANOE,43,1,880
TIPTON,9,0,57
UNION,5,0,20
VANDERBURGH,53,1,243
VERMILLION,3,0,43
VIGO,41,2,308
WABASH,7,0,72
WARREN,2,1,25
WARRICK,34,2,72
WASHINGTON,23,0,84
WAYNE,17,1,152
WELLS,3,0,49
WHITE,3,0,140
WHITLEY,11,1,44
