county,case_count,death_cases,lab_tests
ADAMS,2,0,24
ALLEN,95,7,637
BARTHOLOMEW,66,4,154
BENTON,0,0,36
BLACKFORD,4,0,41
BOONE,76,2,374
BROWN,9,1,24
CARROLL,3,0,47
CASS,15,0,49
CLARK,86,7,441
CLAY,11,0,77
CLINTON,8,0,144
CRAWFORD,11,0,48
DAVIESS,5,1,61
DEARBORN,47,2,121
DECATUR,99,6,151
DEKALB,4,0,45
DELAWARE,46,1,532
DUBOIS,9,0,57
ELKHART,46,3,729
FAYETTE,18,3,88
FLOYD,77,3,436
FOUNTAIN,2,1,50
FRANKLIN,61,7,119
FULTON,3,0,37
GIBSON,4,0,18
GRANT,22,2,152
GREENE,12,0,102
HAMILTON,392,15,1664
HANCOCK,99,2,560
HARRISON,48,1,206
HENDRICKS,243,6,937
HENRY,19,0,192
HOWARD,44,4,249
HUNTINGTON,6,1,81
JACKSON,46,0,171
JASPER,14,1,181
JAY,3,0,58
JEFFERSON,7,0,88
JENNINGS,42,0,85
JOHNSON,230,8,1275
KNOX,10,0,83
KOSCIUSKO,16,0,208
LAGRANGE,6,1,47
LAKE,461,12,2275
LAPORTE,28,3,431
LAWRENCE,55,7,188
MADISON,143,11,565
MARION,2290,58,10963
MARSHALL,11,0,41
MARTIN,1,0,16
MIAMI,12,0,94
MONROE,60,0,409
MONTGOMERY,17,0,142
MORGAN,82,1,477
NEWTON,6,1,42
NOBLE,11,1,80
OHIO,1,0,8
ORANGE,11,2,79
OWEN,17,0,101
PARKE,5,0,46
PERRY,0,0,47
PIKE,0,0,12
PORTER,85,0,671
POSEY,5,0,12
PULASKI,1,0,36
PUTNAM,27,1,164
RANDOLPH,7,1,67
RIPLEY,76,3,188
RUSH,14,1,64
SCOTT,11,2,99
SHELBY,56,1,265
SPENCER,1,0,17
ST JOSEPH,142,1,437
STARKE,6,0,49
STEUBEN,10,1,104
SULLIVAN,4,0,41
SWITZERLAND,11,0,29
TIPPECANOE,38,1,735
TIPTON,9,0,50
UNION,5,0,18
VANDERBURGH,41,1,136
VERMILLION,2,0,35
VIGO,32,2,235
WABASH,5,0,60
WARREN,2,1,22
WARRICK,26,0,50
WASHINGTON,21,0,70
WAYNE,16,1,127
WELLS,2,0,36
WHITE,3,0,123
WHITLEY,8,1,34
