county,case_count,death_cases,lab_tests
ADAMS,1,0,15
ALLEN,58,2,395
BARTHOLOMEW,23,0,100
BENTON,0,0,25
BLACKFORD,1,0,21
BOONE,38,0,169
BROWN,3,0,11
CARROLL,2,0,28
CASS,2,0,33
CLARK,55,2,223
CLAY,2,0,28
CLINTON,3,0,88
CRAWFORD,3,0,23
DAVIESS,0,0,20
DEARBORN,25,1,62
DECATUR,70,4,101
DEKALB,3,0,22
DELAWARE,30,1,296
DUBOIS,3,0,23
ELKHART,29,3,523
FAYETTE,13,3,68
FLOYD,37,0,192
FOUNTAIN,2,1,36
FRANKLIN,48,6,71
FULTON,1,0,17
GIBSON,4,0,14
GRANT,12,0,98
GREENE,9,0,57
HAMILTON,220,4,682
HANCOCK,41,2,212
HARRISON,23,1,103
HENDRICKS,138,1,426
HENRY,7,0,97
HOWARD,25,2,134
HUNTINGTON,3,1,36
JACKSON,25,0,76
JASPER,13,1,125
JAY,2,0,34
JEFFERSON,5,0,55
JENNINGS,31,0,56
JOHNSON,136,4,623
KNOX,4,0,38
KOSCIUSKO,8,0,125
LAGRANGE,4,0,31
LAKE,244,7,1391
LAPORTE,17,1,254
LAWRENCE,22,4,101
MADISON,67,7,220
MARION,1429,33,7055
MARSHALL,4,0,27
MARTIN,0,0,11
MIAMI,5,0,53
MONROE,40,0,278
MONTGOMERY,12,0,89
MORGAN,52,1,247
NEWTON,1,0,26
NOBLE,5,0,50
OHIO,1,0,4
ORANGE,5,0,38
OWEN,13,0,56
PARKE,1,0,22
PERRY,0,0,28
PIKE,0,0,6
PORTER,45,0,416
POSEY,5,0,10
PULASKI,0,0,19
PUTNAM,13,1,75
RANDOLPH,4,1,46
RIPLEY,47,1,108
RUSH,8,1,28
SCOTT,6,1,57
SHELBY,26,0,96
SPENCER,1,0,10
ST JOSEPH,72,1,268
STARKE,2,0,22
STEUBEN,2,0,40
SULLIVAN,3,0,29
SWITZERLAND,6,0,13
TIPPECANOE,26,1,491
TIPTON,5,0,31
UNION,0,0,8
VANDERBURGH,33,0,87
VERMILLION,2,0,13
VIGO,9,2,96
WABASH,1,0,29
WARREN,2,1,15
WARRICK,10,0,26
WASHINGTON,14,0,34
WAYNE,6,0,71
WELLS,2,0,30
WHITE,3,0,86
WHITLEY,4,0,13
